,level_0,index,Name,Rating Value,Rating Count,Course,Would Take Again,Difficulty,University,Link,Score
35,35,317,Keith Collins,5.0,12,Health Science,1.0,3.1,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2146018,0.790923076923077
36,36,333,David Smith,5.0,1,Business,1.0,1.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2436874,0.79
37,37,199,Lezlie Stephens,5.0,1,Business,1.0,1.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2246275,0.79
38,38,339,Stephanie Brumer,5.0,4,Theater,1.0,2.5,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1821676,0.7899999999999999
39,39,28,Sylvain Fasciotto,4.8,4,French,1.0,2.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2297314,0.7899999999999999
40,40,25,Lin Sun,5.0,3,World Languages amp Literatures,1.0,2.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2327669,0.7869999999999999
41,41,340,Holly Riffe,4.6,14,Social Work,0.75,2.4,Northern Kentucky University,https://www.ratemyprofessors.com/professor/732856,0.7869999999999999
42,42,326,Julie Hart,4.5,10,Nursing,1.0,2.6,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1555065,0.7867272727272727
43,43,337,Nancy Jentsch,4.5,17,World Languages & Literatures,0.8,2.5,Northern Kentucky University,https://www.ratemyprofessors.com/professor/847086,0.7833333333333333
44,44,43,Connie Bruins,3.9,26,Geography,1.0,2.4,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1109694,0.7788888888888889
45,45,245,Teressa Elliott,5.0,45,Accountancy,0.95,3.5,Northern Kentucky University,https://www.ratemyprofessors.com/professor/925701,0.7784782608695652
46,46,236,Sandra Bazzani Aronne,4.6,10,Spanish,0.9,2.7,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2211491,0.7767272727272726
47,47,14,Rodney D'Souza,4.4,14,Business,1.0,2.8,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1552993,0.776
48,48,158,Eileen (nora) Drust,4.7,12,Communication,0.0,1.4,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1062552,0.7749230769230769
49,49,79,Annie Welch,5.0,12,Education,1.0,3.4,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2138370,0.7729230769230769
50,50,122,Jill Easter,4.8,17,Education,0.0,1.7,Northern Kentucky University,https://www.ratemyprofessors.com/professor/425194,0.7693333333333333
51,51,61,Cathy Pence,3.5,16,Nursing,1.0,2.1,Northern Kentucky University,https://www.ratemyprofessors.com/professor/617821,0.7663529411764706
52,52,133,Jamey Strawn,5.0,5,Theater,0.0,1.4,Northern Kentucky University,https://www.ratemyprofessors.com/professor/730674,0.766
53,53,78,Jeffrey Smith,4.0,13,Psychology,1.0,2.6,Northern Kentucky University,https://www.ratemyprofessors.com/professor/749431,0.7625714285714286
54,54,46,Amy Fugazzi,3.8,9,English,0.84,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1868516,0.762
55,55,3,Andrea Lambert,4.6,25,Communication,1.0,3.4,Northern Kentucky University,https://www.ratemyprofessors.com/professor/942954,0.7604615384615384
56,56,300,Kris Hehn,4.9,20,Sociology,0.0,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/763580,0.7597142857142858
57,57,352,Jim Justice,4.8,35,Mathematics,0.0,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/596977,0.7596666666666666
58,58,283,Julie Baker,4.8,27,Art,0.0,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/607091,0.7572857142857142
59,59,120,Robert Rhode,4.7,48,English,0.0,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/325474,0.7558775510204081
60,60,319,Lee Kersting,4.8,16,Accountancy,1.0,3.6,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1848668,0.7543529411764706
61,61,266,Daryl Harris,3.7,27,Theater,0.75,2.2,Northern Kentucky University,https://www.ratemyprofessors.com/professor/503845,0.7542857142857142
62,62,86,Whittney Darnell,4.3,20,Communication,0.72,2.7,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1512172,0.7537142857142858
63,63,2,Michael Marchman,4.1,45,Geography,1.0,3.1,Northern Kentucky University,https://www.ratemyprofessors.com/professor/905124,0.7534782608695652
64,64,224,Katie Barton,4.3,11,Music,1.0,3.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1855829,0.7529999999999999
65,65,243,Leighann Rechtin,4.2,33,Communication,0.58,2.5,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1275724,0.7511764705882353
66,66,105,Steven Castellano,4.4,14,Biological Sciences,0.86,3.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2156978,0.75
67,67,200,James Vanover,5.0,2,Mathematics,1.0,2.5,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1716382,0.7499999999999999
68,68,70,Lee Michael Kersting Lee Michael Kersting,5.0,2,Accountancy,1.0,2.5,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1913339,0.7499999999999999
69,69,103,Steve Stephens,5.0,3,Law,1.0,3.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1560058,0.745
70,70,18,Ryan Clark,4.9,6,Not Specified,0.0,1.8,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1635409,0.7431428571428571
71,71,4,Daniel Meloy,4.6,5,Poli-Science & Crim. Justice,0.0,1.4,Northern Kentucky University,https://www.ratemyprofessors.com/professor/977825,0.742
72,72,267,Carl Miller,4.3,67,Mathematics,0.73,3.1,Northern Kentucky University,https://www.ratemyprofessors.com/professor/405061,0.7405882352941177
73,73,5,Joan Bolser,4.6,4,Construction Management,0.0,1.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1038271,0.738
74,74,335,Ned Kalapasev,4.8,2,Geography,1.0,2.5,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1078306,0.7379999999999999
75,75,280,George Manning,3.6,24,Psychology,1.0,2.8,Northern Kentucky University,https://www.ratemyprofessors.com/professor/578156,0.736
76,76,349,Paige Wideman,4.1,59,Art,0.2,2.1,Northern Kentucky University,https://www.ratemyprofessors.com/professor/739639,0.7349999999999999
77,77,241,Helen Bukulmez,4.5,10,Law,0.9,3.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2354760,0.7347272727272728
78,78,331,Katherine Sliter,4.7,8,Psychology,0.0,1.9,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1647671,0.7346666666666667
79,79,54,Charles Heath,4.3,7,Marketing,0.86,2.9,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2283925,0.7325
80,80,0,Mike King,4.2,25,Theater,0.0,1.8,Northern Kentucky University,https://www.ratemyprofessors.com/professor/393703,0.7324615384615385
81,81,83,Bryan Holmes,3.8,6,Poli-Science & Crim. Justice,0.67,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2521116,0.7321428571428571
82,82,145,Mike Sterling,4.7,9,Management,0.0,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/835380,0.732
83,83,240,Lauren Mohr,5.0,1,Communication,1.0,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2616114,0.73
84,84,99,Vickie Knueven,5.0,1,English,1.0,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2412180,0.73
85,85,338,Lori Wheeler,5.0,1,Fine Arts,1.0,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2455534,0.73
86,86,218,Beth Ackerson,5.0,1,Business Informatics,1.0,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2364772,0.73
87,87,231,Aaron Zlatkin,3.8,4,Film,1.0,2.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2275900,0.73
88,88,209,Megan Peek,5.0,1,Communication,1.0,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2321029,0.73
89,89,45,Traci Freeman,5.0,5,Nursing,0.0,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/959097,0.73
90,90,256,Bobby Platt,5.0,1,Law,1.0,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2834018,0.73
91,91,316,JeeEun Lee,4.4,4,Fine Arts,1.0,2.9,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2732466,0.73
92,92,264,Jason  Farkas,5.0,1,Social Science,1.0,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2873319,0.73
93,93,107,Ralph Draper,5.0,1,Engineering,1.0,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2462756,0.73
94,94,50,Krista Weiss,5.0,1,Music,1.0,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2769384,0.73
95,95,195,Willie Elliott,4.4,14,Social Work,0.0,1.9,Northern Kentucky University,https://www.ratemyprofessors.com/professor/770947,0.73
96,96,131,Judith Meeker-Archer,4.1,8,Theater,0.0,1.4,Northern Kentucky University,https://www.ratemyprofessors.com/professor/722102,0.7286666666666666
97,97,7,Frank Sheehy,4.1,26,Geology,0.0,1.8,Northern Kentucky University,https://www.ratemyprofessors.com/professor/991553,0.7268888888888888
98,98,233,Chris Strobel,4.5,21,Communication,0.67,3.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/610105,0.7253636363636364
99,99,29,Jessica Mandle,5.0,3,Business,0.0,1.7,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1600550,0.723
100,100,73,Anthony Burk,3.8,46,Business Informatics,0.69,2.8,Northern Kentucky University,https://www.ratemyprofessors.com/professor/986789,0.7226170212765957
101,101,232,Donald Knochelmann,4.0,2,Construction Management,1.0,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2655409,0.72
